DrawScene total: 8ms | BG: 0ms | Map: 0ms | Light: 8ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 1612ms | BG: 0ms | Map: 1612ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 10ms | BG: 0ms | Map: 9ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 11ms | BG: 0ms | Map: 9ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 6ms | BG: 0ms | Map: 5ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 318ms | BG: 0ms | Map: 318ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 159ms | BG: 0ms | Map: 158ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 18ms | BG: 0ms | Map: 16ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 11ms | BG: 0ms | Map: 9ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 8ms | BG: 0ms | Map: 7ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 7ms | BG: 0ms | Map: 6ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 7ms | BG: 0ms | Map: 6ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 7ms | BG: 0ms | Map: 6ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 178ms | BG: 0ms | Map: 177ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 279ms | BG: 0ms | Map: 278ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 623ms | BG: 0ms | Map: 622ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 1518ms | BG: 0ms | Map: 1516ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 1973ms | BG: 0ms | Map: 1969ms | Light: 3ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 308ms | BG: 0ms | Map: 291ms | Light: 17ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 56ms | BG: 0ms | Map: 47ms | Light: 9ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 53ms | BG: 0ms | Map: 49ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 52ms | BG: 0ms | Map: 48ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 52ms | BG: 0ms | Map: 48ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 53ms | BG: 0ms | Map: 49ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 53ms | BG: 0ms | Map: 49ms | Light: 3ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 80ms | BG: 0ms | Map: 76ms | Light: 3ms | Drag: 0ms | HighFl: 0ms
